frame,keypoint_id,x,y,px,py,visibility
0,0,0.3375746,0.29603165,243,378,0.9608019590377808
0,1,0.33888072,0.29012564,243,371,0.726512610912323
0,2,0.32633632,0.29259107,234,374,0.9540706276893616
0,3,0.33775458,0.29009765,243,371,0.2820262610912323
0,4,0.30042785,0.2946779,216,377,0.9176411032676697
0,5,0.34033084,0.3141644,245,402,0.9809190630912781
0,6,0.29939705,0.3179624,215,406,0.9973644614219666
0,7,0.39219877,0.33944908,282,434,0.9132751822471619
0,8,0.3770204,0.34398788,271,440,0.9949036836624146
0,9,0.43000886,0.34185982,309,437,0.880006730556488
0,10,0.4416739,0.34716877,318,444,0.985105037689209
0,11,0.3306638,0.39015073,238,499,0.9972459077835083
0,12,0.28794223,0.39312112,207,503,0.998993456363678
0,13,0.3751364,0.4462401,270,571,0.9931036829948425
0,14,0.2652916,0.456814,191,584,0.9977235198020935
0,15,0.3986979,0.4937578,287,632,0.9793416857719421
0,16,0.22199959,0.5116135,159,654,0.9895825386047363
1,0,0.3384812,0.2979316,243,381,0.9375371336936951
1,1,0.33874965,0.29162425,243,373,0.6635614633560181
1,2,0.32650524,0.29359022,235,375,0.92393559217453
1,3,0.3326432,0.291864,239,373,0.29349297285079956
1,4,0.3027206,0.29537487,217,378,0.9156336784362793
1,5,0.3313463,0.3125686,238,400,0.9754170179367065
1,6,0.30657127,0.32124987,220,411,0.9965686798095703
1,7,0.39440787,0.3277546,283,419,0.8988026976585388
1,8,0.39593866,0.34138352,285,436,0.9928111433982849
1,9,0.39647582,0.31551385,285,403,0.8598565459251404
1,10,0.4135478,0.31788403,297,406,0.980006754398346
1,11,0.31717598,0.38978097,228,498,0.9954075217247009
1,12,0.28410432,0.39497167,204,505,0.9981856942176819
1,13,0.37449357,0.44155875,269,565,0.9887718558311462
1,14,0.2616774,0.45786715,188,586,0.9960387945175171
1,15,0.38841647,0.48601618,279,622,0.9661263823509216
1,16,0.21653001,0.5120338,155,655,0.9822484254837036
2,0,0.33958507,0.29537037,244,378,0.9326923489570618
2,1,0.33997074,0.2906467,244,372,0.6497522592544556
2,2,0.33062112,0.29187357,238,373,0.9052650928497314
2,3,0.33250535,0.29131606,239,372,0.25443214178085327
2,4,0.3058907,0.29365462,220,375,0.8335493206977844
2,5,0.3319929,0.308741,239,395,0.9727925658226013
2,6,0.2993848,0.3135442,215,401,0.9923092126846313
2,7,0.39870504,0.31188664,287,399,0.925352156162262
2,8,0.37984073,0.31831807,273,407,0.9886900782585144
2,9,0.4340716,0.30568582,312,391,0.8993898034095764
2,10,0.43124387,0.3047284,310,390,0.9747520685195923
2,11,0.30729204,0.38687912,221,495,0.9947143197059631
2,12,0.2692265,0.39033088,193,499,0.9972293972969055
2,13,0.37191468,0.44231385,267,566,0.9860075116157532
2,14,0.2558721,0.45491147,184,582,0.9934385418891907
2,15,0.38617304,0.4887301,278,625,0.9579882621765137
2,16,0.197138,0.5089797,141,651,0.9729456305503845
3,0,0.34552526,0.2975641,248,380,0.8887624144554138
3,1,0.34346026,0.2933729,247,375,0.5089207291603088
3,2,0.33714706,0.29346332,242,375,0.8476516008377075
3,3,0.33166322,0.29534134,238,378,0.1843099147081375
3,4,0.3118094,0.295327,224,378,0.7971835732460022
3,5,0.3293296,0.31666958,237,405,0.963731050491333
3,6,0.30183786,0.31396556,217,401,0.989427387714386
3,7,0.38661915,0.3307748,278,423,0.9120895266532898
3,8,0.3648527,0.3204937,262,410,0.9860158562660217
3,9,0.40419498,0.3082716,291,394,0.8828595876693726
3,10,0.3975347,0.29486102,286,377,0.9706768989562988
3,11,0.3018781,0.3903578,217,499,0.9933004379272461
3,12,0.26968578,0.3906197,194,499,0.9964600205421448
3,13,0.36751267,0.4494968,264,575,0.9823209047317505
3,14,0.27269086,0.4586277,196,587,0.9916889071464539
3,15,0.35572,0.48778874,256,624,0.9467781782150269
3,16,0.19648102,0.5053925,141,646,0.9656405448913574
4,0,0.35262918,0.29412407,253,376,0.8536199927330017
4,1,0.352471,0.29064208,253,372,0.4413861930370331
4,2,0.34194154,0.29003224,246,371,0.8293379545211792
4,3,0.33751732,0.2983985,243,381,0.18185704946517944
4,4,0.31401902,0.29675865,226,379,0.8538461327552795
4,5,0.3303569,0.32376415,237,414,0.9395111799240112
4,6,0.29782116,0.31563216,214,404,0.9917725920677185
4,7,0.37570333,0.3313171,270,424,0.8322629332542419
4,8,0.32609507,0.30426067,234,389,0.9875855445861816
4,9,0.40327266,0.3067259,290,392,0.8123334050178528
4,10,0.35591736,0.27948657,256,357,0.9718119502067566
4,11,0.3074651,0.39243364,221,502,0.9884584546089172
4,12,0.27225286,0.3914022,196,500,0.995316743850708
4,13,0.34901336,0.44874373,251,574,0.9748455286026001
4,14,0.2697179,0.45673257,194,584,0.9909070730209351
4,15,0.32287577,0.48727456,232,623,0.9263286590576172
